Adj Close,Volume
1837.880005,3511750000
1837.48999,3652140000
1838.130005,3581150000
1842.369995,3335710000
1819.199951,3591350000
1838.880005,3353270000
1848.380005,3777800000
1845.890015,3491310000
1838.699951,3626120000
1843.800049,3782470000
1844.859985,3374170000
1828.459961,3972250000
1790.290039,4618450000
1781.560059,4045200000
1792.5,3437830000
1774.199951,3964020000
1794.189941,3547510000
1782.589966,4059690000
1741.890015,4726040000
1755.199951,4068410000
1751.640015,3984290000
1773.430054,3825410000
1797.02002,3775990000
1799.839966,3312160000
1819.75,3699380000
1819.26001,3326380000
1829.829956,3289510000
1838.630005,3114750000
1840.76001,3421110000
1828.75,3661570000
1839.780029,3404980000
1836.25,3403880000
1847.609985,4014530000
1845.119995,3515560000
1845.160034,3716730000
1854.290039,3547460000
1859.449951,3917450000
1845.72998,3428220000
1873.910034,3765770000
1873.810059,3392990000
1877.030029,3360450000
1878.040039,3564740000
1877.170044,3021350000
1867.630005,3392400000
1868.199951,3270860000
1846.339966,3670990000
1841.130005,3285460000
1858.829956,2860490000
1872.25,2930190000
1860.77002,3289210000
1872.01001,3327540000
1866.52002,5270710000
1857.439941,3409000000
1865.619995,3200560000
1852.560059,3480850000
1849.040039,3733430000
1857.619995,2955520000
1872.339966,3274300000
1885.52002,3336190000
1890.900024,3131660000
1888.77002,3055600000
1865.089966,3583750000
1845.040039,3801540000
1851.959961,3721450000
1872.180054,3308650000
1833.079956,3758780000
1815.689941,3743460000
1830.609985,3111540000
1842.97998,3736440000
1862.310059,3155080000
1864.849976,3341430000
1871.890015,2642500000
1879.550049,3215440000
1875.390015,3085720000
1878.609985,3191830000
1863.400024,3213020000
1869.430054,4034680000
1878.329956,3647820000
1883.949951,3779230000
1883.680054,3416740000
1881.140015,3159560000
1884.660034,2733730000
1867.719971,3327260000
1878.209961,3632950000
1875.630005,3393420000
1878.47998,3025020000
1896.650024,3005740000
1897.449951,2915680000
1888.530029,2822060000
1870.849976,3552640000
1877.859985,3173650000
1885.079956,2664250000
1872.829956,3007700000
1888.030029,2777140000
1892.48999,2759800000
1900.530029,2396280000
1911.910034,2911020000
1909.780029,2976450000
1920.030029,2709050000
1923.569946,3263490000
1924.969971,2509020000
1924.23999,2867180000
1927.880005,2793920000
1940.459961,3113270000
1949.439941,2864300000
1951.27002,2812180000
1950.790039,2702360000
1943.890015,2710620000
1930.109985,3040480000
1936.160034,2598230000
1937.780029,2926130000
1941.98999,2971260000
1956.97998,3065220000
1959.47998,2952150000
1962.869995,4336240000
1962.609985,2717630000
1949.97998,3089700000
1959.530029,3106710000
1957.219971,2778840000
1960.959961,4290590000
1960.22998,3037350000
1973.319946,3188240000
1974.619995,2851480000
1985.439941,1998090000
1977.650024,2681260000
1963.709961,3302430000
1972.829956,2858800000
1964.680054,3165690000
1967.569946,2684630000
1977.099976,2744920000
1973.280029,3328740000
1981.569946,3390950000
1958.119995,3381680000
1978.219971,3106060000
1973.630005,2611160000
1983.530029,2890480000
1987.01001,2869720000
1987.97998,3203530000
1978.339966,2638960000
1978.910034,2803320000
1969.949951,3183300000
1970.069946,3448250000
1930.670044,4193000000
1925.150024,3789660000
1938.98999,3072920000
1920.209961,3462520000
1920.23999,3539150000
1909.569946,3230520000
1931.589966,2902280000
1936.920044,2784890000
1933.75,2611700000
1946.719971,2718020000
1955.180054,2609460000
1955.060059,3023380000
1971.73999,2638160000
